Shipper ID,Tracking ID,Origin Hub Name,Dest Hub Name,Count
11398224,26062803530872IPCV3PYNCD-DO,SRG-KDL,SUB-NWE,1
11398224,26062803530872YWAVDMB9-01,SUB-SUB,SRG-KDL,1
11398224,26062803530872YWAVDMB9-DO,SRG-KDL,SUB-NWE,1
11398224,26062804151086BTBYDRLF-01,MAC-MAC,BDO-PWA,1
11398224,26062804151086BTBYDRLF-DO,BDO-BDO,MAC-KD5,1
11398224,26062804151086TLYBJPUNC-01,MAC-MAC,BDO-PWA,1
11398224,26062804151086TLYBJPUNC-DO,BDO-BDO,MAC-KD5,1
11398224,26062804321679AJCVNEVDS-01,MAC-MAC,CBN-KNG,1
11398224,26062804321679AJCVNEVDS-DO,CBN-CBN,MAC-KD5,1
11398224,26062804321679D5QKB6MIHA-01,MAC-MAC,CBN-KNG,1
11398224,26062804321679D5QKB6MIHA-DO,CBN-CBN,MAC-KD5,1
11398224,26062804321679TTGCJILUOE-01,MAC-MAC,CBN-KNG,1
11398224,26062804321679TTGCJILUOE-DO,CBN-CBN,MAC-KD5,1
11398224,26062805004199ROKPB12O-01,SUB-SUB,SRG-SLT,1
11398224,26062805004199ROKPB12O-DO,SRG-SLT,SUB-NWE,1
11398224,260628055633758JF4CKYK-01,MAC-MAC,BDO-BJR,1
11398224,260628055633758JF4CKYK-DO,BDO-BJR,MAC-KD5,1
11398224,26062805563375HLELCZXXFU-01,MAC-MAC,BDO-BJR,1
11398224,26062805563375HLELCZXXFU-DO,BDO-BJR,MAC-KD5,1
11398224,26062805563375ISY4UZYJBR-01,MAC-MAC,BDO-BJR,1
11398224,26062805563375ISY4UZYJBR-02,MAC-MAC,BDO-BJR,1
11398224,26062805563375ISY4UZYJBR-DO,BDO-BJR,MAC-KD5,1
11398224,26062806351120TGP27CWHH-01,SUB-SUB,SOC-BJN,1
11398224,26062806351120TGP27CWHH-DO,SOC-SOC,SUB-NWE,1
11398224,26062806351120VRXZGUJL8K-01,SUB-SUB,SOC-BJN,1
11398224,26062806351120VRXZGUJL8K-DO,SOC-SOC,SUB-NWE,1
11398224,260628074209420GV2IYR4-01,MAC-MAC,MAC-SKT,1
11398224,260628074209420GV2IYR4-DO,MAC-SKT,MAC-KD5,1
11398224,26062807530462NXSVQD20F-01,SUB-SUB,SUB-JOM,1
11398224,26062807530462NXSVQD20F-DO,,SUB-NWE,1
11398224,2606280758246653GAMWMKL-01,MAC-MAC,CBN-MJL,1
11398224,2606280758246653GAMWMKL-DO,CBN-MJL,MAC-KD5,1
11398224,26062807582466H5XATZZ0G-01,MAC-MAC,CBN-MJL,1
11398224,26062807582466H5XATZZ0G-DO,CBN-MJL,MAC-KD5,1
11398224,26062808532430MBZSEPLEX-01,SUB-SUB,SOC-NGW,1
11398224,26062808532430MBZSEPLEX-DO,SOC-SOC,SUB-NWE,1
11398224,26062809245862H6R5O6KAA6-01,MAC-MAC,BDO-KJT,1
11398224,26062809245862H6R5O6KAA6-DO,BDO-KJT,MAC-KD5,1
11398224,26062809245862W7VQLG5VM-01,MAC-MAC,BDO-KJT,1
11398224,26062809245862W7VQLG5VM-DO,BDO-KJT,MAC-KD5,1
11398224,26062810021913NZE9SM6OO-01,MAC-MAC,BDO-PWA,1
11398224,26062810021913NZE9SM6OO-DO,BDO-BDO,MAC-KD5,1
11398224,26062810021914MJQFZBQKE7-01,MAC-MAC,BDO-PWA,1
11398224,26062810021914MJQFZBQKE7-DO,BDO-BDO,MAC-KD5,1
11398224,26062811471766J2OJNMLVU-01,SUB-SUB,SOC-NGW,1
11398224,26062811471766J2OJNMLVU-DO,SOC-SOC,SUB-NWE,1
11398224,26062812125629USDDT73QO-01,MAC-MAC,MAC-JPK,1
11398224,26062812125629USDDT73QO-DO,MAC-MAC,MAC-KD5,1
11398224,26062812240461FFBX4FZZY-01,MAC-MAC,MAC-SKT,1
11398224,26062812240461FFBX4FZZY-DO,MAC-SKT,MAC-KD5,1
11398224,26062812240461L5PBGQDF-01,MAC-MAC,MAC-SKT,1
11398224,26062812240461L5PBGQDF-DO,MAC-SKT,MAC-KD5,1
11398224,26062813371765KHSYUGVO2-01,SUB-SUB,SUB-TBN,1
11398224,26062813371765KHSYUGVO2-DO,SUB-TBN,SUB-NWE,1
11398224,260628134705057DO2NN2ET8-01,SUB-SUB,SUB-TBN,1
11398224,260628134705057DO2NN2ET8-DO,SUB-TBN,SUB-NWE,1
11398224,260628134705058F46HOSH-01,SUB-SUB,SUB-TBN,1
11398224,260628134705058F46HOSH-DO,SUB-TBN,SUB-NWE,1
11398224,26062813581439ENRGQNOWD-01,MAC-MAC,CBN-MJL,1
11398224,26062813581439ENRGQNOWD-DO,CBN-MJL,MAC-KD5,1
11398224,26062814254048U5KRLEDEP-01,MAC-MAC,MAC-CBD,1
11398224,26062814254048U5KRLEDEP-02,MAC-MAC,MAC-CBD,1
11398224,26062814254048U5KRLEDEP-DO,MAC-MAC,MAC-KD5,1
11398224,260628143418698A2RODS2IU-01,MAC-MAC,BDO-PWA,1
11398224,260628143418698A2RODS2IU-DO,BDO-BDO,MAC-KD5,1
11398224,26062814341869ANOVW5AT8U-01,MAC-MAC,BDO-PWA,1
11398224,26062814341869ANOVW5AT8U-02,MAC-MAC,BDO-PWA,1
11398224,26062814341869ANOVW5AT8U-DO,BDO-BDO,MAC-KD5,1
11398224,26062814341869WT2YZH684A-01,MAC-MAC,BDO-PWA,1
11398224,26062814341869WT2YZH684A-02,MAC-MAC,BDO-PWA,1
11398224,26062814341869WT2YZH684A-DO,BDO-BDO,MAC-KD5,1
11398224,26062814341869YDCCIXHI-01,MAC-MAC,BDO-PWA,1
11398224,26062814341869YDCCIXHI-DO,BDO-BDO,MAC-KD5,1
11398224,26062814555033UPBGFOGTF-01,MAC-MAC,BDO-SMD,1
11398224,26062814555033UPBGFOGTF-DO,BDO-BDO,MAC-KD5,1
11398224,26062815371612AWONXX0NT-01,MAC-MAC,MAC-CLG,1
11398224,26062815371612AWONXX0NT-DO,MAC-CLG,MAC-KD5,1
11398224,26062815371612G4Q5UJQOJ4-01,MAC-MAC,MAC-CLG,1
11398224,26062815371612G4Q5UJQOJ4-DO,MAC-CLG,MAC-KD5,1
11398224,26062815371612KNP84HU9W7-01,MAC-MAC,MAC-CLG,1
11398224,26062815371612KNP84HU9W7-DO,MAC-CLG,MAC-KD5,1
11398224,26062815561381MZI9FOHLYO-01,MAC-MAC,MAC-JPK,1
